price,marketing_spend,num_features,usage,tenure,satisfaction,churn
106.18,6510.9,7,88.79,41,4.87,0
192.61,7628.1,4,40.26,2,1.06,1
159.8,12963.66,2,12.16,10,4.0,1
139.8,5760.06,5,96.04,44,3.02,0
73.4,13175.1,14,46.33,70,4.61,0
73.4,2233.88,11,64.21,35,3.3,0
58.71,11875.18,11,68.3,62,2.79,0
179.93,12865.67,3,56.92,20,3.66,0
140.17,3545.45,14,24.5,35,4.33,0
156.21,7024.85,9,76.74,37,2.13,0
53.09,3317.0,6,81.36,54,1.43,0
195.49,10892.46,1,57.53,28,2.73,1
174.87,8494.87,3,51.41,70,1.86,0
81.85,9894.53,12,15.82,32,2.72,0
77.27,3750.82,4,12.98,11,4.96,0
77.51,3964.44,9,37.26,42,3.3,0
95.64,1580.96,11,34.53,23,3.77,0
128.71,5508.95,6,95.6,30,3.71,0
114.79,8836.43,4,79.44,9,4.28,0
93.68,13011.09,1,67.69,59,4.78,0
141.78,10336.98,8,54.18,28,3.64,0
70.92,7095.55,14,20.9,33,2.9,0
93.82,14343.68,11,97.95,47,2.27,0
104.95,11069.43,2,40.63,22,2.44,0
118.41,14022.31,11,15.16,29,2.34,0
167.78,8386.23,11,51.91,34,2.3,0
79.95,4624.66,8,88.03,42,3.78,0
127.14,1739.57,6,89.29,52,3.35,0
138.86,11165.19,8,6.04,47,1.81,0
56.97,2698.24,6,89.2,51,4.88,0
141.13,5238.85,5,30.79,45,2.71,0
75.58,8454.59,5,8.7,34,3.26,0
59.76,8901.83,14,85.54,21,3.81,0
192.33,9408.16,14,87.07,13,3.45,0
194.84,3327.57,10,61.64,54,2.24,0
171.26,6316.32,10,59.57,25,4.19,0
95.69,9640.72,11,82.25,21,1.44,0
64.65,14577.46,8,79.7,1,3.28,0
152.63,11186.84,7,89.56,58,2.09,0
116.02,13916.45,8,57.51,69,3.46,0
68.31,11670.97,12,96.93,71,1.87,0
124.28,9284.04,8,99.63,13,4.09,0
55.16,3688.33,7,16.07,52,1.91,0
186.4,10333.6,2,85.71,23,4.56,0
88.82,9727.31,11,52.48,21,4.45,0
149.38,9434.57,9,41.82,6,2.45,0
96.76,7857.0,13,63.24,20,2.54,0
128.01,8401.19,7,10.32,40,3.81,0
132.01,5682.2,12,53.11,9,1.36,0
77.73,8270.38,11,87.73,50,1.32,0
195.44,3765.78,6,25.28,28,1.55,1
166.27,12272.44,9,45.51,11,3.25,0
190.92,3600.88,13,94.25,56,1.6,0
184.22,2189.53,1,45.71,35,2.11,0
139.68,7107.44,11,39.04,25,3.59,0
188.28,10216.3,2,46.85,19,1.06,0
63.27,7128.04,13,54.35,31,1.72,0
79.4,4874.56,1,65.04,50,4.72,0
56.78,8814.4,10,81.07,63,3.65,0
98.8,5858.03,12,47.95,47,2.22,0
108.3,14060.15,3,82.66,1,1.18,0
90.7,13917.03,11,55.7,58,3.34,0
174.31,8033.21,5,37.16,10,1.89,1
103.51,5590.38,1,67.51,8,4.84,0
92.14,11319.85,4,73.18,26,3.75,0
131.4,1513.98,14,58.01,34,4.9,0
71.14,7646.77,13,10.38,19,4.4,0
170.33,5708.53,8,21.14,1,2.93,0
61.18,13887.5,6,32.1,48,3.68,0
198.03,1168.04,13,31.85,25,4.25,0
165.84,8739.41,1,68.97,24,3.31,1
79.81,11369.29,12,6.74,47,1.25,0
50.83,7790.25,1,76.79,69,2.88,0
172.32,2195.64,3,30.21,67,1.52,0
156.03,14614.46,14,34.45,32,3.86,0
159.35,8252.15,10,55.15,17,3.72,0
165.69,9598.61,8,25.51,61,4.97,0
61.11,4312.54,11,89.02,69,3.52,0
103.77,7768.97,11,13.11,11,4.2,0
