marketing_spend,impressions,clicks,price,conversion_rate
7803.53,22864,1381,141.23,0.0252
19038.93,66895,3887,43.61,0.0541
14773.88,50237,839,71.2,0.0415
12173.84,22945,1711,161.53,0.0319
3542.36,6635,330,119.88,0.0116
3541.89,7687,273,187.75,0.0187
1632.63,3923,247,102.89,0.0216
17390.43,43844,1228,177.87,0.0366
12221.74,39100,2289,106.32,0.0388
14307.42,23488,300,196.47,0.0246
901.4,1430,98,193.17,0.0217
19413.24,48140,1992,85.95,0.05
16732.63,54262,2961,180.61,0.0363
4640.61,9205,235,174.09,0.0147
4045.59,12557,721,65.82,0.0296
4076.39,8762,561,136.13,0.0294
6432.72,23899,1031,42.36,0.0406
10732.75,40132,2137,172.24,0.0331
8922.93,20016,840,59.67,0.0401
6178.97,12821,931,42.04,0.0333
12431.13,31429,1410,98.04,0.0316
3220.13,6767,466,128.08,0.021
6196.82,19712,1303,175.34,0.0206
7644.06,27252,1056,195.62,0.0271
9393.36,29897,780,104.71,0.0352
15810.93,56301,2163,40.28,0.0578
4393.64,10951,743,157.35,0.0268
10527.57,19905,516,126.08,0.0309
12052.08,40313,1883,106.14,0.0285
1405.78,3376,224,82.58,0.0308
12347.12,39241,1363,115.41,0.0438
3825.22,8326,458,87.58,0.0201
1768.51,3012,82,158.69,0.0243
19003.27,75661,1335,122.46,0.0482
19329.82,36543,2397,179.06,0.0419
16263.75,64584,1093,122.4,0.0502
6439.97,25394,736,70.5,0.0393
2404.61,8379,585,174.69,0.0194
13842.54,43584,1493,124.73,0.0407
9082.97,26745,2089,65.16,0.0402
2879.75,10555,829,136.0,0.0187
10155.95,22583,650,90.81,0.0359
1170.58,3125,40,173.55,0.0099
18231.75,55579,3299,107.06,0.045
5546.21,14021,583,153.5,0.0211
13419.18,34470,588,46.24,0.0423
6578.37,15299,911,97.32,0.0308
10641.33,30972,377,197.15,0.0246
11160.85,40474,2870,167.44,0.0325
4104.66,8225,162,57.19,0.0223
19406.9,74446,1408,77.22,0.0508
15615.09,50323,1122,86.07,0.0455
18820.23,66966,5171,140.56,0.0426
17949.13,51882,3036,158.69,0.0402
12159.05,41934,2772,157.42,0.0246
18476.55,28463,1077,116.68,0.0478
2225.6,7892,265,167.84,0.0198
4321.67,6916,183,104.3,0.0285
1381.93,5147,225,51.06,0.0322
6843.94,27238,1325,125.96,0.0287
8079.21,18058,979,191.89,0.0253
5791.31,11732,328,164.81,0.023
16660.38,56869,4345,128.38,0.0456
7456.69,15902,348,139.96,0.0193
5978.22,21904,1700,188.2,0.0157
11082.57,19473,215,102.82,0.0443
3248.02,5895,257,86.34,0.0139
16142.84,63730,2124,196.13,0.0339
1953.74,6222,258,176.79,0.0211
19744.3,71419,3567,84.92,0.0507
15558.77,35954,1456,108.84,0.0404
4374.96,13961,545,100.56,0.0272
607.68,1814,111,55.35,0.0236
16401.5,49334,2862,192.83,0.0355
14283.72,45798,3129,98.73,0.0381
14715.64,43240,1189,178.81,0.0397
15539.77,39978,2106,62.19,0.0542
1943.87,4257,217,123.14,0.0199
7490.08,25627,920,34.07,0.0309
2759.45,5700,251,159.92,0.0155
17330.52,55993,1790,128.76,0.0422
12654.31,26363,525,136.35,0.0379
6952.51,21298,532,38.79,0.0315
1739.39,5858,102,65.88,0.0222
6564.16,13435,777,42.64,0.0381
6841.07,11287,635,79.12,0.037
14727.32,26913,2060,136.66,0.0353
12932.37,38991,2381,126.25,0.0301
17800.65,64503,880,134.07,0.0597
9708.19,15654,1126,123.37,0.0361
2832.09,9446,665,76.41,0.0253
14408.27,33907,1391,71.57,0.0488
15335.31,41349,2109,53.3,0.0471
11444.91,43744,3426,174.34,0.0341
15533.86,36193,1711,134.8,0.0406
10129.01,26977,1979,61.71,0.0395
10693.29,16406,259,60.13,0.0395
8837.05,15058,352,178.42,0.0182
995.67,2137,87,156.26,0.0256
2603.88,4087,208,142.1,0.015
1112.87,3426,230,99.17,0.015
12910.0,33127,2623,74.54,0.0408
6629.94,19030,708,196.51,0.0155
10417.13,20174,269,165.53,0.0288
18197.55,40759,2693,81.3,0.0526
5361.2,16939,886,174.09,0.0256
8502.47,33272,795,159.02,0.0309
15233.25,24770,1106,80.5,0.0433
4961.56,18487,1145,102.51,0.0274
2001.11,5888,376,61.61,0.0289
6150.15,17896,805,48.88,0.0255
3643.82,10023,314,152.87,0.023
18629.1,31176,2437,75.48,0.0431
16258.35,28041,1582,169.41,0.0476
12851.37,38583,1488,199.25,0.0273
17493.48,41152,1219,43.03,0.051
16171.61,61342,3753,110.42,0.0394
4138.12,10413,281,166.35,0.0164
17904.9,33271,733,164.12,0.0518
11017.17,36211,1705,159.2,0.0353
16245.08,36282,1099,89.33,0.0377
17973.78,50572,2732,107.16,0.0538
6701.07,21742,397,131.14,0.0329
2646.01,9924,554,195.57,0.013
4944.74,17210,513,85.68,0.0304
8828.6,28171,282,186.93,0.0245
16451.29,52629,994,75.79,0.057
17284.25,66800,5034,198.14,0.0321
635.57,1423,101,143.94,0.0173
10459.57,15718,414,108.8,0.0327
8639.51,18833,1214,134.28,0.0224
4831.1,9878,520,76.33,0.0406
2837.37,8951,698,76.61,0.0207
7083.5,21847,790,49.3,0.0368
18886.74,56351,3252,49.39,0.0447
6802.46,10480,151,89.1,0.0293
10616.42,35267,1331,159.69,0.0321
